Feature,Definition
SK_ID_CURR,ID of loan application
NAME_CONTRACT_TYPE,Identifies if loan is cash or revolving
IS_MALE,Gender of the client
FLAG_OWN_CAR,Flags if the client owns a car
FLAG_OWN_REALTY,Flags if client owns a house or flat
AMT_CREDIT,Credit amount of the loan
REGION_POPULATION_RELATIVE,Normalized population of region where client lives (higher number means the client lives in more populated region)
DAYS_REGISTRATION,How many days before the application did client change his registration
DAYS_ID_PUBLISH,How many days before the application did client change the identity document with which he applied for the loan
FLAG_EMAIL,Did client provide email
REGION_RATING_CLIENT,Our rating of the region where client lives
REGION_RATING_CLIENT_W_CITY,Our rating of the region where client lives with taking city into account
OBS_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 30 DPD (days past due) default
DEF_30_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 30 DPD (days past due) 
OBS_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings with observable 60 DPD (days past due) default
DEF_60_CNT_SOCIAL_CIRCLE,How many observation of client's social surroundings defaulted on 60 (days past due) DPD
DAYS_LAST_PHONE_CHANGE,How many days before application did client change phone
DISPOSABLE_INCOME,total household income minus total amount of monthly repayments on existing loans
DISPOSABLE_INCOME_per_capita,disposable income divided by the number of people in the household
WHITE_COLLAR,"Yes if ['Managers', 'High skill tech staff', 'Accountants', 'Secretaries', 'Medicine staff', 'Realty agents', 'HR staff',  'IT staff'], no otherwise"
INCOME_TYPE,"Category:
fixed_salary = ['Working', 'State servant']
commission = ['Commercial associate', 'Businessman']
benefits = ['Pensioner', 'Unemployed', 'Student', 'Maternity leave']"
UPPER_EDUCATION,"Category:
secondary_or_lower = ['Secondary / secondary special', 'Lower secondary']
higher_or_tertiary = ['Higher education', 'Incomplete higher', 'Academic degree']"
IS_MARRIED,"Category:
married = ['Married', 'Civil marriage']
single_or_unknown = ['Single / not married', 'Separated', 'Widow', 'Unknown']"
LIVES_INDEPENDENTLY,"Category:
independent = ['House / apartment', 'Rented apartment', 'Office apartment']
social = ['With parents', 'Municipal apartment', 'Co-op apartment']"
YEAR_BIRTH,age of client at time of application
YEARS_EMPLOYED_AS_ADULT_%,% of years the client was employed full time since turning 21
PHONE_PROVIDED,"Flag  if client provided any of 'FLAG_MOBIL', 'FLAG_EMP_PHONE', 'FLAG_WORK_PHONE' or 'FLAG_PHONE' "
PHONE_REACHABLE,Flag if client provided  'FLAG_CONT_MOBILE' 
ADDRESS_MISMATCH,"Flag if client answered yes to any pof  'REG_REGION_NOT_LIVE_REGION', 'REG_REGION_NOT_WORK_REGION',   'LIVE_REGION_NOT_WORK_REGION',    'REG_CITY_NOT_LIVE_CITY' , 'REG_CITY_NOT_WORK_CITY' or 'LIVE_CITY_NOT_WORK_CITY' "
CREDIT_RATING,Average of all existing known credit ratings for the client from other credit providers
NB_APPLICATION_DOCUMENTS_%,% of total 20 required documents provided
REQUESTS_ABOUT_CLIENT_1Y,Total number of enquiries made about client by other credit providers over the past year
